Week Ending,Provider State,Residents Total Admissions COVID-19,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases
2020-05-31,IN,575.0,2546.0,1204.0,1527.0,753.0,48883.0,33154.0,0.0,0.0,1331.0,933.0,13.0,208.0,8.0,42617.90000000001,13293.100000000002,6066.099999999999
2020-05-31,KS,96.0,228.0,398.0,562.0,56.0,20682.0,16031.0,0.0,0.0,182.0,695.0,0.0,25.0,0.0,4170.8,1029.0,185.6
2020-05-31,KY,276.0,918.0,619.0,903.0,222.0,25611.0,20460.0,0.0,0.0,499.0,628.0,5.0,227.0,39.0,14039.399999999998,3667.7999999999997,1224.9
2020-05-31,LA,915.0,2685.0,819.0,1841.0,787.0,33008.0,22641.0,0.0,0.0,1513.0,607.0,15.0,134.0,20.0,33671.49999999999,10028.700000000004,5303.3
2020-05-31,MA,2181.0,9438.0,2910.0,4724.0,2982.0,42651.0,29502.0,0.0,0.0,5277.0,1364.0,16.0,105.0,8.0,124290.19999999998,40166.60000000003,18294.3
2020-05-31,MD,815.0,3521.0,995.0,1877.0,782.0,25620.0,18794.0,0.0,0.0,1720.0,812.0,7.0,325.0,16.0,37700.9,8759.800000000003,5008.900000000001
2020-05-31,ME,23.0,140.0,245.0,336.0,22.0,6609.0,5401.0,0.0,0.0,113.0,321.0,0.0,7.0,0.0,2656.6,418.8,81.8
2020-05-31,MI,1805.0,3122.0,1448.0,2946.0,1226.0,43139.0,30597.0,0.0,0.0,2337.0,3243.0,30.0,255.0,15.0,39306.2,16396.2,9311.100000000002
2020-05-31,MN,331.0,1353.0,962.0,1569.0,377.0,26735.0,20729.0,0.0,0.0,926.0,1604.0,5.0,53.0,40.0,17823.8,4868.099999999999,2515.499999999999
2020-05-31,MO,360.0,1230.0,1143.0,1510.0,316.0,52593.0,35664.0,0.0,0.0,482.0,910.0,2.0,0.0,0.0,16733.800000000003,4227.2,4509.900000000001
2020-05-31,MS,159.0,1142.0,590.0,580.0,268.0,17127.0,13987.0,0.0,0.0,687.0,689.0,7.0,29.0,0.0,18669.099999999995,4552.1,2403.2
2020-05-31,MT,8.0,5.0,29.0,135.0,2.0,5725.0,3618.0,0.0,0.0,6.0,86.0,0.0,4.0,0.0,238.1,95.2,40.0
